cm,percent,percent,g_cm-3,g_cm-2,mBq_g-1,mBq_g-1,mBq_g-1,,g m-2 yr-1,,,,,,,,,,,
sed_depth,Water_cont,Salt_cont,Dry_bulk_dens,Cum_mass,Obs_210Pb_act,Exc_210Pb_act,Cum_Exc_210Pb_act,Year,SAR,station,,,,,,,,,,
0.25,70.2,0.6,0.35,0.18,246.4,230.9,1001,2009.5,0.132,LF1,,,,,,,,,,
0.75,68.1,0.5,0.38,0.37,261,245.5,960.2,2008.2,0.125,LF1,,,,,,,,,,
1.25,65.8,0.5,0.42,0.58,250.4,234.9,913.01,2006.5,0.122,LF1,,,,,,,,,,
1.75,64.4,0.5,0.44,0.8,240.4,224.9,863.5,2004.8,0.12,LF1,,,,,,,,,,
2.5,63.6,0.5,0.46,1.26,222.5,207,813.49,2002.8,0.118,LF1,,,,,,,,,,
3.5,50.3,0.4,0.71,1.97,147,131.5,718.77,1998.9,0.13,LF1,,,,,,,,,,
4.5,44.1,0.3,0.85,2.82,117.8,102.3,625.58,1994.4,0.142,LF1,,,,,,,,,,
5.5,48.7,0.4,0.74,3.56,117.5,102,538.92,1989.6,0.144,LF1,,,,,,,,,,
6.5,51.1,0.4,0.69,4.25,109.7,94.2,463.29,1984.8,0.143,LF1,,,,,,,,,,
7.5,59.3,0.5,0.53,4.78,305.6,290.1,398.11,1979.9,0.105,LF1,,,,,,,,,,
8.5,62.4,0.5,0.48,5.26,151.4,135.9,243.59,1964.1,0.095,LF1,,,,,,,,,,
9.5,55.6,0.4,0.6,5.86,99.4,83.9,178.53,1954.1,0.089,LF1,,,,,,,,,,
11,55.2,0.4,0.61,7.08,89.9,74.4,128.05,1943.5,0.067,LF1,,,,,,,,,,
13,43,0.3,0.87,8.83,33.2,17.7,37.4,1903.9,0.055,LF1,,,,,,,,,,
15,40.9,0.3,0.92,10.67,16,0.5,6.49,1847.7,0.064,LF1,,,,,,,,,,
17,42.7,0.3,0.88,12.43,18.6,NA,NA,NA,NA,LF1,,,,,,,,,,
19,39.5,0.3,0.96,14.35,15.2,NA,NA,NA,NA,LF1,,,,,,,,,,
