Site,Depth,,unsupp.,error,,unsupp.,error,Age,BP,error,age,,acc,rate
cm,kg,m-2,y-1,,,,,,,,,,,
Fladen,Bq_kg-1,,Bq_kg-1,,,years,,kg_m-2_yr-1,,,,,,
BS,Pb-210_unsupp,error,Cs-317_unsupp,error,Age_BP,error_age,Date,Acc_rate,,,,,,
0,NA,NA,NA,NA,0,1,2007,NA,BS1,,,,,
0.3,97,32,6,4,0,1,2007,4.05,BS1,,,,,
0.8,86,48,0,0,0,1,2007,4.26,BS1,,,,,
1.3,91,37,5,3,1,1,2006,4.35,BS1,,,,,
1.8,45,28,14,4,1,1,2006,5.63,BS1,,,,,
2.5,80,13,9,2,1,1,2006,6.07,BS1,,,,,
3.5,97,10,9,1,2,1,2005,4.21,BS1,,,,,
4.5,90,15,8,2,3,1,2004,3.88,BS1,,,,,
5.5,106,12,8,2,4,1,2003,3.59,BS1,,,,,
6.5,95,15,10,2,5,1,2002,3.4,BS1,,,,,
7.5,83,9,9,1,6,1,2001,3.73,BS1,,,,,
8.5,80,13,13,2,7,2,2000,3.95,BS1,,,,,
9.5,82,8,10,1,8,2,1999,3.85,BS1,,,,,
11,86,14,15,2,10,2,1997,3.56,BS1,,,,,
13,67,14,15,2,12,2,1995,3.67,BS1,,,,,
15,72,13,14,2,14,2,1993,3.77,BS1,,,,,
17,51,13,17,2,16,2,1991,3.99,BS1,,,,,
19,62,10,17,2,18,2,1989,4.07,BS1,,,,,
22,49,17,19,2,22,2,1985,3.78,BS1,,,,,
26,31,13,34,2,26,2,1981,4.64,BS1,,,,,
30,40,15,36,3,30,2,1977,4.66,BS1,,,,,
Sound,,,,,,,,,,,,,,
BS,11,,,,,,,,,,,,,
0,-,-,-,-,0,0,2007,NA,BS11,,,,,
0.25,165,29,29,9,0,1,2007,3.49,BS11,,,,,
0.75,211,32,40,6,0,1,2007,3.05,BS11,,,,,
1.25,209,35,38,7,1,1,2006,2.7,BS11,,,,,
1.75,199,35,39,6,1,1,2006,2.75,BS11,,,,,
2.5,164,24,37,5,2,1,2005,3.06,BS11,,,,,
3.5,173,23,30,3,2,1,2005,3.23,BS11,,,,,
4.5,138,17,36,2,3,1,2004,3.43,BS11,,,,,
5.5,102,14,28,2,4,1,2003,4.35,BS11,,,,,
6.5,90,14,28,3,5,1,2002,5.31,BS11,,,,,
7.5,88,14,31,3,5,1,2002,5.57,BS11,,,,,
8.5,136,30,34,5,6,1,2001,4.3,BS11,,,,,
9.5,73,14,29,3,8,1,1999,4.46,BS11,,,,,
11,85,14,33,3,9,1,1998,5.67,BS11,,,,,
13,98,15,45,3,11,1,1996,4.67,BS11,,,,,
15,89,12,43,3,13,2,1994,4.26,BS11,,,,,
17,92,15,46,3,16,2,1991,4.08,BS11,,,,,
19,100,14,45,3,18,2,1989,3.54,BS11,,,,,
22,130,17,37,3,25,2,1982,2.55,BS11,,,,,
26,94,14,28,3,36,2,1971,1.99,BS11,,,,,
30,63,12,20,3,49,2,1958,1.97,BS11,,,,,
Arkona,,,,,,,,,,,,,,
BY,2,,,,,,,,,,,,,
0,NA,NA,NA,NA,NA,NA,2007,NA,BY2,,,,,
0.5,NA,NA,NA,NA,0,1,2007,1.1,BY2,,,,,
1.5,188,24,72,5,2,1,2005,1.22,BY2,,,,,
2.5,198,24,83,5,3,1,2004,1.33,BY2,,,,,
3.5,202,26,86,6,5,1,2002,1.22,BY2,,,,,
4.5,171,24,82,5,7,1,2000,1.23,BY2,,,,,
5.5,206,26,94,6,10,1,1997,1.12,BY2,,,,,
6.5,172,22,94,5,12,1,1995,1.04,BY2,,,,,
7.5,135,20,93,6,15,2,1992,1.19,BY2,,,,,
8.5,129,18,78,5,17,2,1990,1.3,BY2,,,,,
9.5,93,17,69,5,19,2,1988,1.44,BY2,,,,,
11,73,14,41,3,21,2,1986,1.8,BY2,,,,,
13,89,13,38,3,25,2,1982,1.67,BY2,,,,,
15,110,16,32,3,30,2,1977,1.18,BY2,,,,,
17,123,17,34,2,37,2,1970,0.84,BY2,,,,,
19,102,17,25,3,45,3,1962,0.69,BY2,,,,,
22,32,9,9,2,56,3,1951,0.86,BY2,,,,,
26,22,9,5,2,65,3,1942,1.55,BY2,,,,,
Bornholm,,,,,,,,,,,,,,
Basin,,,,,,,,,,,,,,
BY,5,,,,,,,,,,,,,
0,NA,NA,NA,NA,NA,NA,2007,NA,BY5,,,,,
0.5,578,170,85,25,1,3,2006,0.16,BY5,,,,,
1.5,578,48,133,8,3,3,2004,0.15,BY5,,,,,
2.3,294,59,134,10,6,3,2001,0.18,BY5,,,,,
2.8,270,74,130,13,9,3,1998,0.26,BY5,,,,,
3.3,172,42,116,8,12,3,1995,0.3,BY5,,,,,
3.8,197,29,102,6,16,3,1991,0.33,BY5,,,,,
4.5,139,35,93,7,22,4,1985,0.31,BY5,,,,,
5.5,108,32,86,6,28,5,1979,0.35,BY5,,,,,
6.5,113,21,77,4,35,5,1972,0.32,BY5,,,,,
7.5,107,20,60,4,42,6,1965,0.26,BY5,,,,,
8.5,73,16,56,3,50,8,1957,0.25,BY5,,,,,
9.5,90,18,49,3,60,11,1947,0.21,BY5,,,,,
11,53,26,27,4,83,22,1924,0.14,BY5,,,,,
13,8,16,18,2,112,48,1895,0.15,BY5,,,,,
15,0,18,10,2,121,53,1886,0.54,BY5,,,,,
Northern,,,,,,,,,,,,,,
Gotland,,,,,,,,,,,,,,
BY,29,,,,,,,,,,,,,
0,NA,NA,NA,NA,NA,0,2007,NA,BY29,,,,,
0.3,329,53,136,15,0,2,2007,0.32,BY29,,,,,
0.8,637,91,207,20,1,2,2006,0.21,BY29,,,,,
1.3,683,92,233,19,3,2,2004,0.15,BY29,,,,,
1.8,459,73,175,19,4,2,2003,0.16,BY29,,,,,
2.5,489,63,179,13,6,2,2001,0.19,BY29,,,,,
3.5,443,63,151,12,8,2,1999,0.18,BY29,,,,,
4.5,435,57,126,9,12,2,1995,0.18,BY29,,,,,
5.5,357,48,100,8,16,2,1991,0.17,BY29,,,,,
6.5,230,42,53,8,24,3,1983,0.19,BY29,,,,,
7.5,186,31,46,5,36,3,1971,0.2,BY29,,,,,
8.5,81,18,25,2,49,4,1958,0.21,BY29,,,,,
9.5,74,17,14,2,62,5,1945,0.24,BY29,,,,,
10.5,53,15,6,2,80,6,1927,0.18,BY29,,,,,
Landsort,,,,,,,,,,,,,,
Deep,,,,,,,,,,,,,,
BY,31,,,,,,,,,,,,,
0,NA,NA,NA,NA,NA,0,2007,NA,BY31,,,,,
0.25,330,50,240,13,1,2,2007,0.1,BY31,,,,,
0.75,186,33,227,9,6,2,2002,0.1,BY31,,,,,
1.25,236,34,208,9,13,2,1995,0.1,BY31,,,,,
1.75,138,31,205,8,22,2,1986,0.1,BY31,,,,,
2.5,56,21,88,5,23,2,1985,1.3,BY31,,,,,
3.5,189,22,64,4,25,2,1983,1,BY31,,,,,
4.5,108,15,59,3,27,2,1981,0.7,BY31,,,,,
5.5,71,16,46,3,29,2,1979,1.2,BY31,,,,,
6.5,24,9,35,2,30,2,1978,2.1,BY31,,,,,
7.5,222,24,39,4,34,2,1974,0.8,BY31,,,,,
8.5,217,27,25,5,37,2,1971,0.4,BY31,,,,,
9.5,132,16,21,3,41,2,1967,0.4,BY31,,,,,
11,125,16,9,3,48,2,1960,0.5,BY31,,,,,
13,71,15,4,3,60,3,1948,0.5,BY31,,,,,
15,61,14,7,2,73,4,1935,0.5,BY31,,,,,
