cm,cm,sample ID,sample ID,Pexchangable,PFe,Pauthigenic,Pdetrital,Porganic,Ptotal,CORG,Corg/Preact,,
sed_depth,thickness,,,Ex_P,Fe_P,Auth_P,Detr_P,Org_P,Tot_P,Corg,Corg/Preact,Fe_P_AS,station
0.25,0.5,BS,1,0.81,7.35,2.64,2.23,10.56,23.59,3.2,125,NA,BS1
0.75,0.5,BS,2,0.7,5.23,2.36,2.33,15.27,25.89,3.13,111,NA,BS1
1.25,0.5,BS,3,0.96,4.24,2.67,2.81,28.83,39.51,3.43,78,NA,BS1
1.75,0.5,BS,4,1.23,4.3,3.08,2.67,19.17,30.46,3.14,94,NA,BS1
2.5,1,BS,5,0.99,3.27,2.65,2.91,15.05,24.86,3.15,119,NA,BS1
3.5,1,BS,6,1.23,3.01,2.38,3.17,14.41,24.2,3.18,126,NA,BS1
4.5,1,BS,7,0.75,1.69,2.12,4,17.27,25.83,3.01,115,NA,BS1
5.5,1,BS,8,1.13,2.23,2.66,2.98,13.76,22.76,3.21,135,NA,BS1
6.5,1,BS,9,0.72,2.76,2.62,3.04,14.12,23.26,3.11,128,NA,BS1
7.5,1,BS,10,0.44,1.67,2.39,3.45,16.86,24.81,3.11,121,NA,BS1
8.5,1,BS,11,0.49,1.41,2.39,3.01,14.77,22.07,2.94,128,NA,BS1
8.5,1,BS,11,0.57,2.48,2.34,3.29,19.43,28.11,2.94,99,NA,BS1
9.5,1,BS,12,0.53,2.43,2.65,2.76,13.14,21.51,3.07,136,NA,BS1
9.5,1,BS,12,0.47,2.69,2.8,2.76,13.97,22.7,3.07,128,NA,BS1
11,2,BS,13,0.53,3.17,2.61,3.02,14.04,23.37,3.12,128,NA,BS1
13,2,BS,14,0.3,2.53,2.91,3.02,12.79,21.54,2.9,130,NA,BS1
15,2,BS,15,0.16,2.73,2.71,2.94,14.24,22.78,3.02,127,NA,BS1
17,2,BS,16,0.16,2.5,2.89,2.8,11.84,20.18,3.02,145,NA,BS1
19,2,BS,17,0.2,2.24,2.86,3.55,13.19,22.03,3.17,143,NA,BS1
22,4,BS,18,0.27,2.53,2.51,3.02,14.33,22.66,2.89,122,NA,BS1
26,4,BS,19,0.17,2.23,2.75,3,12.26,20.4,2.63,126,NA,BS1
30,4,BS,20,0.2,2.29,2.29,3.92,14.56,23.27,2.59,111,NA,BS1
0.25,0.5,BS,170,4.62,26.26,2.68,3.76,17.87,55.19,6.41,105,NA,BS11
0.75,0.5,BS,171,4.06,20.78,2.83,3.76,17.33,48.76,6.49,115,NA,BS11
1.25,0.5,BS,172,3.22,15.17,2.8,4.18,18.49,43.86,6.23,119,NA,BS11
1.75,0.5,BS,173,2.6,7.12,2.69,4.48,18.86,35.75,5.68,181,NA,BS11
2.5,1,BS,174,1.96,6.25,2.74,3.84,18.3,33.09,6.78,205,NA,BS11
3.5,1,BS,175,1.03,7.04,3.15,3.56,16.91,31.69,7.2,146,NA,BS11
4.5,1,BS,176,0.98,4.45,2.65,4.3,17.56,29.94,4.92,119,NA,BS11
5.5,1,BS,177,0.54,2.69,2.36,5.22,10.24,21.04,3.65,243,NA,BS11
6.5,1,BS,178,0.55,2.68,2.76,4.55,12.5,23.03,4.61,227,NA,BS11
7.5,1,BS,179,0.34,1.3,1.55,3.26,9.39,15.85,5.05,212,NA,BS11
8.5,1,BS,180,0.28,2.58,2.78,5.21,13.74,24.58,3.21,233,NA,BS11
9.5,1,BS,181,0.3,2.69,2.93,5.32,12.28,23.53,5.42,226,NA,BS11
11,2,BS,182,0.32,2.69,2.89,14.69,12.3,32.88,4.95,176,NA,BS11
13,2,BS,183,0.3,2.95,3.22,5.96,13.97,26.4,3.86,144,NA,BS11
15,2,BS,184,0.4,2.81,3.58,4.66,10.14,21.59,3.54,151,NA,BS11
17,2,BS,185,0.36,3.3,3.69,5.32,12.98,25.64,3.06,120,NA,BS11
19,2,BS,186,0.32,3.44,3.21,5.25,11.34,23.56,2.92,141,NA,BS11
22,4,BS,187,0.47,4.57,3.65,6.32,11.42,26.43,3.11,103,NA,BS11
26,4,BS,188,0.41,3.74,3.5,6.34,10.01,24.01,2.49,230,NA,BS11
30,4,BS,189,0.45,2.46,3.41,5.32,9.6,21.24,4.89,256,NA,BS11
0.5,0.5,BS,21,2.32,22.55,3.57,6.07,17.14,51.65,5.64,103,NA,BY2_Mort
1.5,0.5,BS,22,1.93,20.15,3.56,3.91,13.8,43.34,6.35,134,2.68,BY2_Mort
2.5,0.5,BS,23,1.64,15.06,3.52,3.85,15.21,39.28,6.19,145,NA,BY2_Mort
2.5,0.5,BS,23,1.84,16.47,3.53,3.64,15.77,41.26,6.19,137,NA,BY2_Mort
3.5,1,BS,24,0.4,4.02,3.43,2.95,18.67,29.47,6.27,197,2.03,BY2_Mort
4.5,1,BS,25,0.53,3.13,3.4,6.05,18.11,31.21,5.92,196,NA,BY2_Mort
5.5,1,BS,26,0.42,3.86,3.4,4.63,17.85,30.16,5.82,190,NA,BY2_Mort
6.5,1,BS,27,0.25,2.82,3.42,5.32,16.47,28.27,5.65,205,1.42,BY2_Mort
7.5,1,BS,28,0.34,1.96,3.35,4.26,17.68,27.59,5.86,209,NA,BY2_Mort
8.5,1,BS,29,0.42,1.96,5.98,6.16,15.89,30.41,5.46,188,NA,BY2_Mort
9.5,1,BS,30,0.41,1.69,3.62,4.36,16.76,26.85,4.97,184,NA,BY2_Mort
11,2,BS,31,0.38,1.65,3.34,4.17,16.75,26.29,4.92,185,NA,BY2_Mort
11,2,BS,31,0.38,1.52,3.34,4.17,16.13,25.54,4.92,192,NA,BY2_Mort
13,2,BS,32,0.2,2.2,3.58,3.66,14.42,24.05,5.4,220,1.23,BY2_Mort
13,2,BS,32,0.26,1.89,3.77,3.88,15.33,25.12,5.4,212,NA,BY2_Mort
15,2,BS,33,0.11,2.19,3.25,3.53,13.53,22.62,5.52,241,NA,BY2_Mort
17,2,BS,34,0.09,2.37,3.2,4.11,17.23,26.99,5.6,204,NA,BY2_Mort
19,2,BS,35,0.2,1.71,3.4,4.11,15.62,25.04,4.82,192,NA,BY2_Mort
19,2,BS,35,0.26,1.78,3.53,4.06,16.27,25.9,4.82,184,NA,BY2_Mort
22,4,BS,36,0.33,1.58,3.46,4.51,15.07,24.95,4.82,196,NA,BY2_Mort
26,4,BS,37,0.35,1.26,3.26,3.73,12,20.6,4.55,225,1.6,BY2_Mort
0.5,0.5,BS,151,0.11,5.88,1.91,1.28,33.8,42.99,13.81,276,NA,BY5
1.5,1,BS,152,0.27,4.69,3.15,1.95,23.4,33.46,9.36,247,NA,BY5
2.25,0.5,BS,153,0.21,3.28,4.07,2.49,21.08,31.14,6.81,212,NA,BY5
2.75,0.5,BS,154,0.11,3.21,4.12,2.62,21.7,31.76,7.3,191,NA,BY5
3.25,0.5,BS,155,0.38,2.92,3.7,2.16,19.92,29.09,6.68,195,NA,BY5
3.75,0.5,BS,156,0.14,2.63,4.66,2.88,21.19,31.5,6.32,182,NA,BY5
4.5,1,BS,157,0.29,2.48,4,2.91,22.42,32.11,6.24,176,NA,BY5
5.5,1,BS,158,0.1,2.59,4.5,2.94,20.7,30.82,6.17,169,NA,BY5
6.5,1,BS,159,0.47,2.36,4.79,2.85,19.65,30.12,5.67,174,NA,BY5
7.5,1,BS,160,0.38,2.27,4.3,2.39,19.47,28.81,5.7,175,NA,BY5
8.5,1,BS,161,0.32,2.37,4.41,2.85,18.52,28.47,5.54,168,NA,BY5
9.5,1,BS,162,0.35,2.11,4.2,2.41,17.37,26.45,5.18,175,NA,BY5
11,2,BS,163,0.5,2.12,4.38,2.76,17.3,27.05,5.05,169,NA,BY5
13,2,BS,164,0.63,2.08,6.52,2.48,18.18,29.89,4.94,149,NA,BY5
15,2,BS,165,0.54,2.5,4.41,2.91,18.94,29.3,4.91,164,NA,BY5
17,2,BS,166,0.35,3.6,4.02,3.73,18.42,30.12,5.19,163,NA,BY5
19,2,BS,167,0.37,2.56,4.61,2.58,18.78,28.9,5.16,177,NA,BY5
22,4,BS,168,0.5,2.28,4.41,2.57,20.13,29.91,5.59,171,NA,BY5
26,4,BS,169,0.56,2.88,4.64,2.71,19.83,30.62,5.62,191,NA,BY5
0.25,0.5,BS,78,0.12,3.59,2.52,1.69,30.59,38.51,8.92,202,NA,BY29
0.75,0.5,BS,80,0.1,3.39,2.91,1.05,23.97,31.43,10.16,279,NA,BY29
1.25,0.5,BS,81,0.08,2.88,2.61,1.83,26.37,33.76,9.45,246,NA,BY29
1.75,0.5,BS,82,0.03,2.67,2.26,1.89,26.8,33.64,10.14,266,NA,BY29
2.5,1,BS,83,0.03,2.73,2.26,1.93,28.63,35.58,9.07,224,NA,BY29
3.5,1,BS,84,0,6.34,3.29,1.48,19.01,30.13,6.7,195,NA,BY29
4.5,1,BS,85,0.02,3.59,2.38,3.22,26.15,35.37,6.59,171,NA,BY29
5.5,1,BS,86,0.11,2.51,3.02,3.84,13.53,23.01,3.05,132,NA,BY29
6.5,1,BS,87,0.19,3.77,3.68,3.88,7.97,19.48,2.52,134,NA,BY29
6.5,1,BS,87,0.14,2.13,2.93,4.46,14.1,23.76,2.52,109,NA,BY29
8.5,1,BS,88,0.17,2.7,2.55,4.48,13.69,23.59,2.32,101,NA,BY29
9.5,1,BS,89,0.19,3.53,2.96,4.02,10.72,21.42,2.26,108,NA,BY29
10.5,1,BS,90,0.36,1.03,3.11,3.68,10.61,18.78,2.17,120,NA,BY29
12,2,BS,91,0.37,2.05,3.07,3.43,9.31,18.23,2.03,114,NA,BY29
14,2,BS,92,0.62,2.11,3.05,3.89,11.38,21.05,2.03,98,NA,BY29
16,2,BS,93,0.4,1.87,3.09,3.85,12.66,21.87,2.07,96,NA,BY29
18.5,2,BS,94,0.2,3.36,2.84,5.38,10.7,22.49,2.1,102,NA,BY29
22,4,BS,95,0.13,2.77,3.15,3.56,11.44,21.05,2.21,105,NA,BY29
26,4,BS,96,0.3,1.52,2.64,3.59,13.63,21.69,2.31,106,NA,BY29
29,4,BS,97,0.51,1.93,2.72,4.19,11.45,20.81,2.21,111,NA,BY29
0.25,0.5,BS,112,1.47,14.65,9.26,4.37,12.64,42.39,11.1,243,NA,BY31
0.25,0.5,BS,112,1.75,15.59,8.33,6.51,8.1,40.29,11.1,274,NA,BY31
0.75,0.5,BS,113,0.92,14.82,22.04,3.91,10.3,51.99,8.91,154,NA,BY31
1.25,0.5,BS,114,1.13,15.16,14.79,4.89,10.44,46.41,8.87,178,NA,BY31
1.75,0.5,BS,115,1.32,13.03,34.99,4.7,9.36,63.4,8.15,116,NA,BY31
2.5,1,BS,116,0.94,10.11,31.62,2.52,5.33,50.52,10.05,174,NA,BY31
3.5,1,BS,117,0.95,11.5,15.89,2.94,8.77,40.05,8.99,202,NA,BY31
4.5,1,BS,118,0.53,5.05,5.1,3.37,9.47,23.53,3.27,135,NA,BY31
5.5,1,BS,119,1.02,4.67,5.29,2.23,7.08,20.28,2.94,136,NA,BY31
6.5,1,BS,120,0.79,5.74,5.14,3.43,9.95,25.05,2.8,108,NA,BY31
7.5,1,BS,121,0.53,22.54,16.42,3.49,12.22,55.2,9.5,153,NA,BY31
8.5,1,BS,122,0.35,10.73,4.38,2.74,11.52,29.72,7.12,220,NA,BY31
9.5,1,BS,123,0.89,5.83,5.22,2.72,7.98,22.65,3.06,128,NA,BY31
11,2,BS,124,1.13,3.82,4.78,2.25,8.53,20.51,3.1,142,NA,BY31
13,2,BS,125,1.38,4.95,5.04,2.57,9.17,23.1,3.04,123,NA,BY31
15,2,BS,126,2.08,3.35,4.86,3.31,8.23,21.83,2.28,103,NA,BY31
17,2,BS,127,1.36,4.36,5.46,2.26,7.13,20.57,2.71,123,NA,BY31
19,2,BS,128,0.95,5.83,5.4,2.69,8.55,23.42,2.47,99,NA,BY31
22,4,BS,129,1.77,7.68,5.17,2.24,7.23,24.08,2.43,93,NA,BY31
26,4,BS,130,2.71,5.42,5.22,2.33,6.95,22.62,2.24,92,NA,BY31
30,4,BS,131,1.96,6.15,5.55,2.76,8.49,24.91,2.23,84,NA,BY31
34,4,BS,132,1.6,5.91,5.63,3.34,7.15,23.63,2.5,103,NA,BY31
