"","station","lat","long","sed_depth","TP_inv","TP_tonperkm2_inv_0to4cm","OrgP_tonperkm2_inv_0to4cm","bottom_depth","SAR","ref"
"1","BS1",57.19,11.65,3.5,9.49019607843137,13.2248431372549,8.06911764705882,82,4248,"Mort_etal2010"
"2","BS11",55.88,12.74,3.5,12.4274509803922,19.0327843137255,8.69033333333334,53,3808,"Mort_etal2010"
"3","BY2_Mort",54.98,14.1,3.5,11.556862745098,14.2520980392157,6.03345098039216,47,1219,"Mort_etal2010"
"4","BY29",58.88,20.31,3.5,11.8156862745098,16.3363921568627,12.3398235294118,175,200,"Mort_etal2010"
"5","BY31",58.59,18.59,3.5,15.7058823529412,25.8710196078431,4.80439215686275,466,692,"Mort_etal2010"
"6","BY5",55.25,15.99,3.75,6.17647058823529,14.1870588235294,9.99841176470588,89,257,"Mort_etal2010"
"7","BY15",57.33,20.05,3.75,7.25490196078431,21.0009803921569,8.54019607843137,238,NA,"Jilbert_etal2011"
"8","BY2_Jilbert",54.98,14.1,3.5,20,30.3921568627451,5.16666666666667,48,NA,"Jilbert_etal2011"
"9","F80",58,19.89,3.5,21.9607843137255,28.5078431372549,11.7009803921569,191,NA,"Jilbert_etal2011"
"10","LF1",57.98,21.28,3.5,7.45098039215686,11.9745098039216,2.73529411764706,67,1221,"Jilbert_etal2011"
"11","LF3",59.87,20.63,3.5,12.156862745098,17.5666666666667,6.56470588235294,95,578,"Jilbert_etal2011"
"12","LL19",58.88,20.31,3.5,16.078431372549,23.5235294117647,7.65882352941177,169,NA,"Jilbert_etal2011"
"13","F26",62,19.6,3.5,19.0745098039216,24.2377450980392,1.72688235294118,137,1200,"Slomp_etal2013"
"14","SR1a",61.2,17.7,3.5,8.99607843137255,13.3257450980392,2.00770588235294,61,930,"Slomp_etal2013"
"15","SR5",61.1,19.6,3.5,22.3843137254902,21.6574509803922,2.98633333333333,124,1160,"Slomp_etal2013"
"16","SR7",61.1,20.6,3.5,6.86274509803922,9.14013725490196,0.880764705882353,77,270,"Slomp_etal2013"
"17","US2",62.8,18.9,3.5,30.1333333333333,35.6457450980392,3.52062745098039,204,5250,"Slomp_etal2013"
