	station	lat	long	sed_depth	TP_inv	TP_tonperkm2_inv_0to4cm	OrgP_tonperkm2_inv_0to4cm	bottom_depth	SAR	ref
1	BS1	57.19	11.65	3.5	9	13	8	82	4248	Mort_etal2010
2	BS11	55.88	12.74	3.5	12	19	9	53	3808	Mort_etal2010
3	BY2_Mort	54.98	14.1	3.5	12	14	6	47	1219	Mort_etal2010
4	BY29	58.88	20.31	3.5	12	16	12	175	200	Mort_etal2010
5	BY31	58.59	18.59	3.5	16	26	5	466	692	Mort_etal2010
6	BY5	55.25	15.99	3.75	6	14	10	89	257	Mort_etal2010
7	BY15	57.33	20.05	3.75	7	21	9	238	NA	Jilbert_etal2011
8	BY2_Jilbert	54.98	14.1	3.5	20	30	5	48	NA	Jilbert_etal2011
9	F80	58	19.89	3.5	22	29	12	191	NA	Jilbert_etal2011
10	LF1	57.98	21.28	3.5	7	12	3	67	1221	Jilbert_etal2011
11	LF3	59.87	20.63	3.5	12	18	7	95	578	Jilbert_etal2011
12	LL19	58.88	20.31	3.5	16	24	8	169	NA	Jilbert_etal2011
13	F26	62	19.6	3.5	19	24	2	137	1200	Slomp_etal2013
14	SR1a	61.2	17.7	3.5	9	13	2	61	930	Slomp_etal2013
15	SR5	61.1	19.6	3.5	22	22	3	124	1160	Slomp_etal2013
16	SR7	61.1	20.6	3.5	7	9	1	77	270	Slomp_etal2013
17	US2	62.8	18.9	3.5	30	36	4	204	5250	Slomp_etal2013
