Station,Depth (cm),CDB-Fe (umol/g),Fe-tot (umol/g),Mn-tot (umol/g),S tot (umol/g)
US2,0.25,350,1116,172,24
US2,0.75,348.8,1101,175,22
US2,1.25,324.2,1099,168,23
US2,1.75,348.8,1124,172,24
US2,2.5,379.5,1139,180,24
US2,3.5,388.5,1133,201,25
US2,4.5,441.4,1147,125,23
US2,5.5,453.2,1193,54,27
US2,6.5,347.9,1052,39,39
US2,7.5,264,1047,35,74
US2,8.5,245.3,1031,32,126
US2,9.5,267.4,1077,42,130
US2,11,266.8,1059,51,150
US2,13,268.9,1073,47,237
US2,15,269.2,1097,45,312
US2,17,265.3,1068,52,234
US2,19,266.4,1053,48,200
US2,21,258.6,1086,50,152
US2,24,254.7,1062,49,106
US2,28,288.9,1074,56,79
US5B,0.5,239,1140,137,34
US5B,0.75,235.4,1123,108,37
US5B,1.25,290.8,1144,86,36
US5B,1.75,212.8,1175,69,31
US5B,2.5,275.3,1144,65,32
US5B,3.5,140.8,1079,48,82
US5B,4.5,251.7,1193,39,373
Station,Depth_cm,CDB_Fe,Fe_tot,Mn_tot,S_tot
US5B,5.5,239.6,910,24,419
US5B,6.5,300,1215,35,471
US5B,7.5,298.3,1217,35,436
US5B,8.5,393.7,1302,34,519
US5B,9.5,157,1105,34,121
US5B,11,106.6,933,27,56
US5B,13,104.2,890,22,39
US5B,15,98.5,751,18,28
US5B,17,136.2,1091,26,39
US5B,19,107.9,915,23,38
US5B,21,155.2,1169,27,49
US5B,23,88.8,933,23,54
US5B,25,200.8,1171,27,116
US5B,27,301.5,1238,29,172
US5B,32,139.2,1037,27,144
SR5,0.25,315.4,1208,55,44
SR6,0.75,333.6,1223,56,42
SR7,1.25,368.9,1279,60,39
SR8,1.75,363.8,1246,62,40
SR9,2.5,266.5,1225,62,40
SR10,3.5,289.8,1019,54,33
SR11,4.5,273.7,1065,42,31
SR12,5.5,173.1,1142,23,35
SR13,6.5,88.2,1026,11,57
SR14,7.5,85.1,944,10,55
SR15,8.5,98,1039,12,72
SR16,9.5,116.8,1030,14,74
SR17,10.5,113.3,1069,17,83
SR18,12,127.4,1058,15,95
SR19,14,97.9,997,11,96
SR20,16,76.6,980,11,85
SR21,18,63.8,1023,11,77
SR22,20,60.2,1028,11,79
SR23,22,66.9,995,11,60
SR24,24,48,1009,11,43
F26,0.25,316.7,1297,81,51.2
F26,0.75,346.5,1355,89,44.1
F26,1.25,348.2,1304,92,44.8
F26,1.75,312.8,1280,91,45.8
F26,2.5,353.1,1362,101,42.9
F26,3.5,329.8,1302,97,39.7
F26,4.5,313.4,1396,82,39.8
F26,5.5,423.3,1241,26,40.7
F26,6.5,208.8,1219,22,42.6
F26,7.5,108.1,1074,15,51.8
F26,8.5,142.6,1091,19,50.2
F26,9.5,100.9,1009,14,53.2
F26,11,113.1,952,16,53.6
F26,13,138.4,1128,17,79.2
F26,15,124.3,1136,18,77.7
F26,17,116.5,1151,17,77.7
F26,19,107.3,1126,15,75.1
F26,21,113.9,1115,16,78.3
F26,23,105.1,1062,14,72.9
F26,25,91.5,1083,15,66.5
F26,27,96.8,1136,15,68.6
F26,29,100.4,1112,16,65.9
F26,31,90.5,1136,15,69.6
F26,33,139.1,1203,24,82.9
F26,35,77.4,1108,14,72.2
SR7,0.5,100.9,595,193,23
SR7,1.25,96.7,601,208,21
SR7,1.75,78.8,626,222,22
SR7,2.5,101,544,214,18
SR7,3.5,79.3,539,185,17
SR7,4.5,68.6,440,99,12
SR7,5.5,47.6,455,20,9
SR7,6.5,61.5,765,78,17
SR7,7.5,163.4,1022,23,53
SR7,8.5,54.4,1115,16,668
SR7,9.5,32.5,1149,16,701
SR7,11,12,1245,16,845
SR7,13,6.8,1022,14,300
SR7,15,8.4,1195,15,627
SR7,17,11,927,13,355
SR7,19,10.7,1488,17,1369
SR7,21,10.6,1149,15,567
SR7,23,14.9,966,11,34
SR7,25,20.7,986,11,29
SR7,27,18.8,974,9,282
SR7,29,21.3,1258,10,555
SR7,31,29,1230,10,450
SR1a,0.5,169.2,795,26.1,54
SR1a,1.25,156.5,832,27.9,55
SR1a,1.75,176.8,757,26.7,60
SR1a,2.5,161.6,691,24,54
SR1a,3.5,77.3,739,16.7,150
SR1a,4.5,19.3,1015,12,387
SR1a,5.5,16.4,1046,12.3,364
SR1a,6.5,8.2,1083,12.6,391
SR1a,7.5,8.5,1067,11.9,464
SR1a,8.5,7.8,1014,11.8,355
SR1a,9.5,7.8,1009,11.8,371
SR1a,11,10.3,1066,12.5,405
SR1a,13,6.1,1108,13.9,465
SR1a,15,6,1044,12.6,466
SR1a,17,5.3,1097,12.9,523
SR1a,19,5.7,997,11.5,351
SR1a,21,5,1021,11.4,425
SR1a,23,4.5,1001,11.3,408
