,cm,umol/g,umol/g,umol/g,umol/g,umol/g,umol/g,%,cm
station,sed_depth,Ex_P,Fe_P,Auth_P,Detr_P,Org_P,Tot_P,Corg,thickness
US2,0.25,2.68,46.85,12.2,2.75,7.44,71.92,3.07,0.5
US2,0.75,3.26,46.59,12.29,2.38,7.34,71.85,3.15,0.5
US2,1.25,3.49,42.71,12,2.35,7.41,67.96,3.07,0.5
US2,1.75,3.51,45.6,11.83,2.42,7.15,70.5,3.06,0.5
US2,2.5,3.69,49.95,12.34,2.36,6.91,75.26,3.09,1
US2,3.5,2.84,52.04,11.36,3.21,7.38,76.84,3.23,1
US2,4.5,3.54,63.58,12.56,2.85,7.8,90.33,3.29,1
US2,5.5,3.69,70.57,12.76,3.07,7.7,97.78,3.3,1
US2,6.5,3.26,36.64,11.3,2.45,8.78,62.43,3.33,1
US2,7.5,1.8,17.09,11.83,2.5,6.94,40.15,3.06,1
US2,8.5,0.99,13.71,11.98,2.52,7.28,36.48,2.88,1
US2,9.5,1.04,19.52,12.28,2.76,7.2,42.8,2.82,1
US2,11,0.82,24.05,12.31,2.48,6.67,46.32,2.51,2
US2,13,0.44,15.38,12.31,2.58,6.8,37.51,2.44,2
US2,15,0.31,14.61,12.62,2.32,6.79,36.65,2.47,2
US2,17,0.49,21.94,13.25,2.54,6.63,44.85,2.47,2
US2,19,0.47,19.09,11.47,3.5,6.95,41.48,2.6,2
US2,21,0.77,23.44,12.2,2.92,6.96,46.3,2.55,2
US2,24,0.91,26.42,11.7,2.96,6.84,48.82,2.51,4
US2,28,1.05,38.91,12.69,3.14,7.29,63.07,2.6,4
US2,32,0.96,39.36,12.28,2.99,7.04,62.63,2.64,4
US5B ,0.5,0.97,31.74,4.48,1.7,7.48,46.37,2.66,1
US5B ,0.75,1.11,32.07,4.21,1.68,7.57,46.64,2.73,0.5
US5B ,1.25,1.4,38.84,4.46,1.57,7.92,54.18,2.92,0.5
US5B ,1.75,2.14,36.4,4.46,1.56,8.11,52.67,2.75,0.5
US5B ,2.5,2.17,50.53,4.34,2.02,7.33,66.39,2.87,1
US5B ,3.5,1.67,20.16,4.56,1.5,7.37,35.26,2.67,1
US5B ,4.5,0.27,11.76,4.66,1.35,7.11,25.15,2.6,1
US5B ,5.5,0.08,8.12,2.9,0.63,6.44,18.17,2.09,1
US5B ,6.5,0.15,12.96,4.39,1.33,6.02,24.84,2.27,1
US5B ,7.5,0.2,10.47,4.35,1.26,6.28,22.56,2.23,1
US5B ,8.5,0.1,22.26,4.37,1.41,5.98,34.12,2.25,1
US5B ,9.5,0.3,26.41,4.46,1.79,6.26,39.23,2.4,1
US5B ,11,0.39,20.27,3.74,1.27,6.76,32.43,2.33,2
US5B ,13,0.38,19.22,3.19,1.91,6.28,30.97,2.28,2
US5B ,15,0.47,17.22,2.7,0.98,5.56,26.92,2.22,2
US5B ,17,0.32,22.68,3.82,1.95,5.62,34.4,2.31,2
US5B ,19,0.47,21.02,3.05,0.89,6.37,31.81,2.17,2
US5B ,21,0.3,28.43,3.4,2.25,6.64,41.03,2.42,2
US5B ,23,0.54,13.43,2.71,1.24,5.85,23.78,2.01,2
