,,depth (cm),umol/g,umol/g,umol/g,umol/g,umol/g,umol/g
Station,Date,depth_cm,Ascorbate_Fe,Ascorbate_Mn,Ascorbate_P,CDB_Fe,CDB_Mn,CDB_P
US5B , Oct 2008,0.5,176,73.9,29.7,239,82,31.7
US5B , Oct 2008,0.75,187.6,41,36.2,235,57.8,32.1
US5B , Oct 2008,1.25,ND,ND,ND,291,50.7,38.8
US5B , Oct 2008,1.75,ND,ND,ND,213,21.4,36.4
US5B , Oct 2008,2.5,200.1,32.9,47.3,275,29.1,50.5
US5B , Oct 2008,3.5,96.4,19,23.1,141,16.5,20.2
US5B , Oct 2008,4.5,183.7,13.8,11.7,252,16.2,11.8
US5B , Oct 2008,5.5,ND,ND,ND,240,6.7,8.1
US5B , Oct 2008,6.5,ND,ND,ND,300,15.4,13
US5B , Oct 2008,7.5,ND,ND,ND,298,14.5,10.5
US5B , Oct 2008,8.5,ND,ND,ND,394,18.4,22.3
US5B , Oct 2008,9.5,121,14.9,27.8,157,13,26.4
US5B , Oct 2008,11,ND,ND,ND,107,8.3,20.3
US5B , Oct 2008,13,ND,ND,ND,104,7.2,19.2
US5B , Oct 2008,15,ND,ND,ND,98,5.5,17.2
US5B , Oct 2008,17,ND,ND,ND,136,7.9,22.7
US5B , Oct 2008,19,ND,ND,ND,108,5.6,21
US5B , Oct 2008,21,107.3,10.1,26.3,155,9.5,28.4
US5B , Oct 2008,23,ND,ND,ND,89,4.1,13.4
US5B , Oct 2008,25,ND,ND,ND,201,10.7,25.2
US5B , Oct 2008,27,ND,ND,ND,301,15.2,32.4
US5B , Oct 2008,32,ND,ND,ND,139,4.9,16.9
SR5 , Oct 2008,0.25,ND,ND,ND,315,36.3,44.3
SR5 , Oct 2008,0.75,263.2,33.7,45.3,334,38.1,48.2
SR5 , Oct 2008,1.25,267.2,34.4,45.9,369,44,54.3
SR5 , Oct 2008,1.75,ND,ND,ND,364,45.8,53.3
SR5 , Oct 2008,2.5,228,32.7,40,266,34.4,38
SR5 , Oct 2008,3.5,249.71,38.71,44.46,290,38.9,42.4
SR5 , Oct 2008,4.5,ND,ND,ND,274,27.9,40.6
SR5 , Oct 2008,5.5,ND,ND,ND,173,7.3,24.4
SR5 , Oct 2008,6.5,39.1,1,8.5,88,1.1,6.9
SR5 , Oct 2008,7.5,ND,ND,ND,85,1,6.3
SR5 , Oct 2008,8.5,ND,ND,ND,98,1.3,6.5
SR5 , Oct 2008,9.5,ND,ND,ND,117,4,20.7
SR5 , Oct 2008,10.5,83.3,4.9,28.4,113,5.1,25.8
SR5 , Oct 2008,12,71.5,3.5,21.4,127,4.3,21.9
SR5 , Oct 2008,14,ND,ND,ND,98,1.3,8.1
SR5 , Oct 2008,16,ND,ND,ND,77,1.1,7.2
SR5 , Oct 2008,18,ND,ND,ND,64,0.9,5.8
SR5 , Oct 2008,20,30.4,0.9,7.1,60,0.8,4.9
SR5 , Oct 2008,22,ND,ND,ND,67,1,4.8
SR5 , Oct 2008,24,ND,ND,ND,48,0.6,4.7
