degree_N,minute_N,degree_E,minute_E,name,decimal degree,decimal degree,psu,degree,state,m,number,"g m-2 yr-1, when depth profile exists average of 0-10 cm",cm yr-1,,ref,,,
degree_N,minute_N,degree_E,minute_E,station,lat,long,Salinity,Temp,redox,bottom_depth,group,SAR,sed_rate,bottom_type,ref,,,
NA,NA,NA,NA,F80,58,19.89,NA,NA,oxic,191,2,NA,NA,mud,Jilbert_Slomp_2013,,,
NA,NA,NA,NA,LL19,58.88,20.31,NA,NA,hypoxic,169,2,NA,NA,mud,Jilbert_Slomp_2013,,,
NA,NA,NA,NA,LF1,57.98,21.28,NA,NA,oxic,67,1,1221,NA,sand,Jilbert_Slomp_2013,,,
NA,NA,NA,NA,LF1_5,57.98,21.28,NA,NA,oxic,72,1,1008,NA,sand,Jilbert_Slomp_2013_and_Jilbert_et_al_2011,,,
NA,NA,NA,NA,LF3,59.87,20.63,NA,NA,NA,95,2,578,NA,hard_clay,Jilbert_Slomp_2013_and_Jilbert_et_al_2011_Steenbergh_et_al_2014,,,
NA,NA,NA,NA,BY15,57.33,20.05,NA,NA,anoxic,238,2,NA,NA,NA,Jilbert_Slomp_2013_and_Jilbert_et_al_2011,,,
NA,NA,NA,NA,BY2_Jilbert,54.98,14.1,NA,NA,hypoxic,48,,NA,NA,mud,Jilbert_et_al_2011,,,
57,11.573,11,39.248,BS1,57.19,11.65,34.2,10.7,oxic,82,1,4248,1,mud,Mort_et_al_2010,,,
55,52.538,12,44.46,BS11,55.88,12.74,32,10,hypoxic,53,1,3808,0.61,mud,Mort_et_al_2010,,,
54,58.504,14,5.937,BY2_Mort,54.98,14.1,12.2,13,hypoxic,47,1,1219,0.4,mud,Mort_et_al_2010,,,
55,15.16,15,59.16,BY5,55.25,15.99,16.2,9,hypoxic,89,2,257,0.12,NA,Mort_et_al_2010,,,
58,52.759,20,18.569,BY29,58.88,20.31,11.4,5.7,anoxic,175,2,200,0.13,mud,Mort_et_al_2010,,,
58,35.314,18,35.556,BY31,58.59,18.59,11.2,4.7,anoxic,466,2,692,0.21,mud,Mort_et_al_2010,,,
62,50.72,18,53.32,US2,62.8,18.9,6.2,NA,oxic,204,NA,5250,1.6,mud,Slomp_et_al_2013,,62.85,18.9
62,35.17,19,58.13,US5B,62.6,20,6.3,NA,oxic,214,NA,4090,1.49,NA,Slomp_et_al_2013,,62.6,20.0
61,5,19,34.78,SR5,61.1,19.6,6.6,NA,oxic,124,NA,1160,0.32,hard_clay,Slomp_et_al_2013,,61.1,19.6
61,59.02,19,34.78,F26,62,19.6,6.5,NA,oxic,137,NA,1200,0.33,hard_clay,Slomp_et_al_2013,,62.0,19.6
61,5.01,20,35.79,SR7,61.1,20.6,5.9,NA,oxic,77,NA,270,0.04,hard_bottom,Slomp_et_al_2013,,61.1,20.6
61,14,17,39.79,SR1a,61.2,17.7,5.4,NA,oxic,61,NA,930,0.09,hard_clay,Slomp_et_al_2013,,61.2,17.7
60,22.14,22,34.81,Paila10,60.4,22.6,NA,NA,6.2,12,NA,4580,NA,,Lukkari_2009_Mattila_etal_2006,,,
60,19.5,22,31.35,Paila14,60.3,22.5,6.2,NA,2.9,29,NA,5540,NA,,Lukkari_2009_Mattila_etal_2007,,,
60,18.47,22,30.03,AS5,60.3,22.5,6.3,NA,1.7,33,NA,4650,NA,,Lukkari_2009_Mattila_etal_2008,,,
60,13.27,22,25.98,AS3,60.2,22.4,6.3,NA,6.1,19,NA,840,NA,,Lukkari_2009_Mattila_etal_2009,,,
60,27.31,26,28.98,Ahla2,60.5,26.5,NA,NA,6.4,4,NA,730,NA,,Lukkari_2009,,,
60,25.3,26,28.6,Ahla6,60.4,26.5,NA,NA,4.3,7,NA,660,NA,,Lukkari_2009,,,
60,24.12,26,29.73,Ahla9,60.4,26.5,NA,NA,4.5,13,NA,1373,NA,,Lukkari_2009,,,
60,4.88,22,15.88,AS2,60.1,22.3,6.6,NA,4.9,47,NA,900,NA,,Lukkari_2009_Mattila_etal_2009,,,
59,53.72,24,12.7,C63,59.9,24.2,6,NA,8.6,45,NA,NA,NA,,Lukkari_2009,,,
60,24.64,27,36.32,BZ1,60.4,27.6,5.7,NA,3.8,29,NA,990,NA,,Lukkari_2009,,,
60,20.12,26,34.55,BISA1,60.3,26.6,6.1,NA,3.4,40,NA,430,NA,,Lukkari_2009,,,
59,28,21,56.5,AS7,59.5,21.9,8.6,NA,1.6,71,NA,840,NA,,Lukkari_2009_Mattila_etal_2006,,,
59,34.91,23,37.6,JML,59.6,23.6,8.2,NA,1.8,79,NA,170,NA,,Lukkari_2009_Mattila_etal_2007,,,
59,42.31,24,40.92,GF1,59.7,24.7,8.5,NA,0,83,NA,350,NA,,Lukkari_2009_Mattila_etal_2008,,,
59,44.95,25,15.06,E3,59.7,25.3,9.7,NA,0.4,89,NA,NA,NA,,Lukkari_2009,,,
59,50.31,25,51.41,GF2B,59.8,25.9,9.5,NA,0.8,85,NA,NA,NA,,Lukkari_2009,,,
59,50.38,25,51.86,GF2F,59.8,25.9,9.5,NA,0.8,84,NA,958,NA,,Lukkari_2009,,,
59,50.47,25,52.31,GF2K,59.8,25.9,9.5,NA,1,83,NA,NA,NA,,Lukkari_2009,,,
60,4.67,26,19.73,LL3a,60.1,26.3,8.2,NA,2.4,63,NA,329,NA,,Lukkari_2009,,,
60,14.94,27,15.9,XV1,60.2,27.3,7,NA,2.5,58,NA,330,NA,,Lukkari_2009,,,
